case_type,benchmark,method,level_pct,n_samples,geometry_fraction_median,geometry_fraction_iqr,geometry_fraction_std,geometry_fraction_control_median,geometry_fraction_paired_diff_median,narrow_gap_fraction_median,narrow_gap_fraction_iqr,narrow_gap_fraction_std,narrow_gap_fraction_control_median,narrow_gap_fraction_paired_diff_median,thin_line_fraction_median,thin_line_fraction_iqr,thin_line_fraction_std,thin_line_fraction_control_median,thin_line_fraction_paired_diff_median,boundary_proximity_mean_median,boundary_proximity_mean_iqr,boundary_proximity_mean_std,boundary_proximity_mean_control_median,boundary_proximity_mean_paired_diff_median,junction_recall_median,junction_recall_iqr,junction_recall_std,junction_recall_control_median,junction_recall_paired_diff_median,junction_density_per_kpx_median,junction_density_per_kpx_iqr,junction_density_per_kpx_std,junction_density_per_kpx_control_median,junction_density_per_kpx_paired_diff_median,corner_recall_median,corner_recall_iqr,corner_recall_std,corner_recall_control_median,corner_recall_paired_diff_median,corner_density_per_kpx_median,corner_density_per_kpx_iqr,corner_density_per_kpx_std,corner_density_per_kpx_control_median,corner_density_per_kpx_paired_diff_median,local_density_mean_median,local_density_mean_iqr,local_density_mean_std,local_density_mean_control_median,local_density_mean_paired_diff_median
TN,iccad4,gradcam_plus,10,3,0.2086,0.0169,0.016,0.1017,0.1069,0.4556,0.1198,0.1121,0.1951,0.2605,0.0588,0.0039,0.0037,0.0264,0.0324,4.948,0.022,0.0207,18.1746,-13.2266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1868,0.0812,0.0689,0.097,0.0749,6.776,0.5975,0.5633,3.9778,2.7982,0.2099,0.0002,0.0001,0.0998,0.1101
TN,iccad4,gradcam_plus,20,3,0.1531,0.0187,0.0177,0.0855,0.0797,0.3302,0.0682,0.0575,0.192,0.1273,0.0395,0.0048,0.0045,0.0222,0.0207,13.299,1.5805,1.4889,18.9424,-6.9085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0773,0.0654,0.1833,0.2354,5.182,2.541,2.3957,3.2586,3.408,0.1339,0.0092,0.0087,0.0899,0.0467
TN,iccad4,gradcam_plus,30,3,0.1083,0.0126,0.0107,0.0956,0.0257,0.2398,0.0565,0.0464,0.1928,0.0422,0.0279,0.0033,0.0028,0.0248,0.0064,17.461,1.2985,1.0883,18.2347,-0.7016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,0.0917,0.0813,0.3279,0.1165,4.052,1.7275,1.5077,3.611,1.1354,0.0993,0.0093,0.0082,0.0957,0.0143
TN,iccad4,layercam,10,3,0.0835,0.0117,0.0104,0.1017,0.0019,0.434,0.1206,0.109,0.1951,0.2235,0.0281,0.0021,0.002,0.0264,0.0059,6.42,0.166,0.139,18.1746,-11.7546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,0.1008,0.0844,0.097,0.2936,11.359,3.089,2.6456,3.9778,7.6529,0.1799,0.0072,0.0058,0.0998,0.0801
TN,iccad4,layercam,20,3,0.0997,0.0079,0.0066,0.0855,0.0142,0.3989,0.0881,0.0796,0.192,0.2116,0.0319,0.0027,0.0024,0.0222,0.0097,7.112,0.69,0.568,18.9424,-11.8304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6374,0.1522,0.1309,0.1833,0.4541,11.56,0.9965,0.8961,3.2586,8.672,0.1699,0.0119,0.0098,0.0899,0.08
TN,iccad4,layercam,30,3,0.101,0.0146,0.0121,0.0956,0.0186,0.3618,0.0571,0.0524,0.1928,0.1687,0.0336,0.0044,0.0036,0.0248,0.0109,8.48,1.4915,1.2484,18.2347,-9.8146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8187,0.1346,0.1121,0.3279,0.5139,9.898,1.362,1.1131,3.611,6.287,0.1602,0.0159,0.0136,0.0957,0.0673
TN,iccad4,occlusion,10,3,0.3382,0.0235,0.0196,0.1017,0.2377,0.4237,0.0192,0.017,0.1951,0.2286,0.0833,0.0064,0.0052,0.0264,0.0588,4.482,0.567,0.501,18.1746,-13.8536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,-0.097,0.0,0.0,0.0,3.9778,-3.9778,0.2169,0.0084,0.0073,0.0998,0.1201
TN,iccad4,occlusion,20,3,0.1913,0.0142,0.0117,0.0855,0.1052,0.3369,0.0504,0.0443,0.192,0.1499,0.0478,0.0032,0.0026,0.0222,0.0256,7.492,0.4525,0.3701,18.9424,-11.4504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833,-0.1833,0.0,0.0,0.0,3.2586,-3.2586,0.1787,0.0068,0.0056,0.0899,0.0888
TN,iccad4,occlusion,30,3,0.1701,0.0172,0.0147,0.0956,0.0792,0.3106,0.0346,0.0316,0.1928,0.1192,0.0425,0.0042,0.0035,0.0248,0.0193,7.912,1.079,0.9976,18.2347,-10.3227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342,0.05,0.0415,0.3279,-0.2937,0.531,0.432,0.3558,3.611,-3.611,0.1714,0.0136,0.0127,0.0957,0.0764
TN,iccad5,gradcam,10,3,0.0825,0.0835,0.0769,0.0596,0.0254,0.2005,0.0096,0.0082,0.1767,0.0273,0.0183,0.018,0.0169,0.0145,0.0052,26.041,26.219,21.6356,27.5077,-2.9585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917,-0.0917,0.0,0.0,0.0,1.9141,-1.9141,0.0821,0.0813,0.0751,0.0607,0.0219
TN,iccad5,gradcam,20,3,0.0807,0.0701,0.0649,0.0639,0.0175,0.1975,0.0045,0.004,0.1837,0.0138,0.0179,0.0164,0.0155,0.0158,0.0032,25.998,26.1305,21.6044,26.3737,-0.3757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223,0.0211,0.2064,-0.2026,0.0,0.897,0.8457,2.6236,-2.6236,0.0808,0.0696,0.0645,0.065,0.0167
TN,iccad5,gradcam,30,3,0.0785,0.0651,0.0603,0.0706,0.0079,0.1992,0.0076,0.0069,0.1889,0.0103,0.0182,0.0171,0.0161,0.0162,0.0021,25.948,26.299,21.7458,25.9506,-1.7958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0106,0.0099,0.2667,0.2184,3.454,4.6835,4.4156,2.3915,1.6484,0.0756,0.0642,0.0595,0.0702,0.0057
TN,iccad5,gradcam_plus,10,3,0.0825,0.0835,0.0769,0.0596,0.0254,0.2005,0.0096,0.0082,0.1767,0.0273,0.0183,0.018,0.0169,0.0145,0.0052,26.041,26.219,21.6356,27.5077,-2.9585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917,-0.0917,0.0,0.0,0.0,1.9141,-1.9141,0.0821,0.0813,0.0751,0.0607,0.0219
TN,iccad5,gradcam_plus,20,3,0.0807,0.0701,0.0649,0.0639,0.0175,0.1975,0.0045,0.004,0.1837,0.0138,0.0179,0.0164,0.0155,0.0158,0.0032,25.998,26.1305,21.6044,26.3737,-0.3757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223,0.0211,0.2064,-0.2026,0.0,0.897,0.8457,2.6236,-2.6236,0.0808,0.0696,0.0645,0.065,0.0167
