benchmark,sample_id,case_type,method,level_pct,is_degenerate_map,mean_local_width_px,mean_local_gap_px,mean_local_density,mean_boundary_distance_px,n_geometry_px_in_mask,n_background_px_in_mask,mask_area_px
iccad2,NNHSCAD23820_8,FP,gradcam,10,False,5.831,5.206,0.5144,1.765,2585,2433,5018
iccad2,NNHSCAD23820_8,FP,gradcam_plus,10,False,4.98,5.704,0.4101,1.676,2533,2485,5018
iccad2,NNHSCAD23820_8,FP,layercam,10,False,5.504,5.462,0.4744,1.742,2568,2450,5018
iccad2,NNHSCAD23820_8,FP,occlusion,10,False,5.45,4.715,0.477,1.559,2748,2270,5018
iccad2,NNHSCAD23820_8,FP,gradcam,20,False,5.8,6.386,0.4639,2.056,4779,5256,10035
iccad2,NNHSCAD23820_8,FP,gradcam_plus,20,False,5.813,11.661,0.3484,3.584,4312,5723,10035
iccad2,NNHSCAD23820_8,FP,layercam,20,False,5.573,7.584,0.4149,2.348,4479,5556,10035
iccad2,NNHSCAD23820_8,FP,occlusion,20,False,7.605,9.475,0.4554,3.254,5184,4851,10035
iccad2,NNHSCAD23820_8,FP,gradcam,30,False,5.99,7.491,0.4425,2.441,6169,8884,15053
iccad2,NNHSCAD23820_8,FP,gradcam_plus,30,False,5.677,16.41,0.2978,5.242,5542,9511,15053
iccad2,NNHSCAD23820_8,FP,layercam,30,False,5.89,9.606,0.3786,3.082,5929,9124,15053
iccad2,NNHSCAD23820_8,FP,occlusion,30,False,8.979,11.258,0.4552,4.04,7777,7276,15053
iccad2,NNHSCAD22521_9,FP,gradcam,10,False,5.54,5.29,0.4916,1.707,2435,2583,5018
iccad2,NNHSCAD22521_9,FP,gradcam_plus,10,False,5.909,5.117,0.4784,1.773,2705,2313,5018
iccad2,NNHSCAD22521_9,FP,layercam,10,False,5.371,5.274,0.4764,1.663,2576,2442,5018
iccad2,NNHSCAD22521_9,FP,occlusion,10,False,5.404,4.788,0.4735,1.562,2734,2284,5018
iccad2,NNHSCAD22521_9,FP,gradcam,20,False,5.351,8.345,0.4168,2.552,4176,5859,10035
iccad2,NNHSCAD22521_9,FP,gradcam_plus,20,False,5.321,4.987,0.4355,1.587,5455,4580,10035
iccad2,NNHSCAD22521_9,FP,layercam,20,False,5.357,7.776,0.4108,2.363,4384,5651,10035
iccad2,NNHSCAD22521_9,FP,occlusion,20,False,7.08,8.742,0.4427,2.947,5123,4912,10035
iccad2,NNHSCAD22521_9,FP,gradcam,30,False,5.567,8.77,0.4118,2.784,5681,9372,15053
iccad2,NNHSCAD22521_9,FP,gradcam_plus,30,False,5.235,10.016,0.355,3.111,5692,9361,15053
iccad2,NNHSCAD22521_9,FP,layercam,30,False,5.568,10.89,0.3669,3.44,5728,9325,15053
iccad2,NNHSCAD22521_9,FP,occlusion,30,False,8.087,10.242,0.439,3.586,7486,7567,15053
iccad2,NNHSCAD24052_9,FP,gradcam,10,False,5.528,5.507,0.4838,1.761,2421,2597,5018
iccad2,NNHSCAD24052_9,FP,gradcam_plus,10,False,5.051,4.9,0.4212,1.495,2708,2310,5018
iccad2,NNHSCAD24052_9,FP,layercam,10,False,5.519,5.864,0.4583,1.845,2567,2451,5018
iccad2,NNHSCAD24052_9,FP,occlusion,10,False,5.415,4.752,0.4682,1.557,2719,2299,5018
iccad2,NNHSCAD24052_9,FP,gradcam,20,False,5.531,7.28,0.4261,2.249,4505,5530,10035
iccad2,NNHSCAD24052_9,FP,gradcam_plus,20,False,5.895,12.927,0.348,3.997,4213,5822,10035
iccad2,NNHSCAD24052_9,FP,layercam,20,False,5.666,8.284,0.4095,2.568,4436,5599,10035
iccad2,NNHSCAD24052_9,FP,occlusion,20,False,7.57,9.062,0.4469,3.149,5154,4881,10035
iccad2,NNHSCAD24052_9,FP,gradcam,30,False,5.525,7.961,0.428,2.477,6251,8802,15053
iccad2,NNHSCAD24052_9,FP,gradcam_plus,30,False,5.794,20.058,0.2733,6.8,4723,10330,15053
iccad2,NNHSCAD24052_9,FP,layercam,30,False,6.198,10.549,0.3783,3.437,5858,9195,15053
iccad2,NNHSCAD24052_9,FP,occlusion,30,False,8.872,11.404,0.4368,4.079,7440,7613,15053
iccad3,HSCAD31047,TP,gradcam,10,False,5.938,5.283,0.4482,1.857,3171,1847,5018
iccad3,HSCAD31047,TP,gradcam_plus,10,False,5.522,4.634,0.4676,1.577,2912,2106,5018
iccad3,HSCAD31047,TP,layercam,10,False,5.419,6.139,0.4448,1.892,2524,2494,5018
iccad3,HSCAD31047,TP,occlusion,10,False,5.48,4.702,0.4865,1.566,2773,2245,5018
iccad3,HSCAD31047,TP,gradcam,20,False,5.315,5.501,0.4591,1.713,4975,5060,10035
iccad3,HSCAD31047,TP,gradcam_plus,20,False,5.574,5.564,0.4587,1.789,5241,4794,10035
iccad3,HSCAD31047,TP,layercam,20,False,5.492,7.251,0.4072,2.227,4641,5394,10035
iccad3,HSCAD31047,TP,occlusion,20,False,5.373,8.198,0.4175,2.44,4720,5315,10035
iccad3,HSCAD31047,TP,gradcam,30,False,5.219,6.414,0.4184,1.956,6643,8410,15053
iccad3,HSCAD31047,TP,gradcam_plus,30,False,5.557,6.023,0.4321,1.901,7585,7468,15053
iccad3,HSCAD31047,TP,layercam,30,False,5.395,8.027,0.3822,2.443,6650,8403,15053
iccad3,HSCAD31047,TP,occlusion,30,False,5.343,10.94,0.3615,3.384,5904,9149,15053
iccad3,HSCAD31012,TP,gradcam,10,False,5.699,5.487,0.4408,1.811,2936,2082,5018
iccad3,HSCAD31012,TP,gradcam_plus,10,False,5.243,4.657,0.4477,1.493,2778,2240,5018
iccad3,HSCAD31012,TP,layercam,10,False,5.479,5.774,0.4338,1.814,2609,2409,5018
iccad3,HSCAD31012,TP,occlusion,10,False,5.415,5.745,0.4549,1.789,2592,2426,5018
