run_name,noise_type,noise_idx,p_nhs,logit_nhs,penult_norm,penult_n_active,is_zero_vector
balanced_sampling_seed2,uniform,27,0.999984622001648,11.0829,34.979,3,False
balanced_sampling_seed2,uniform,28,0.999982476234436,10.952,34.7351,3,False
balanced_sampling_seed2,uniform,29,0.9999850988388062,11.1143,35.0499,3,False
balanced_sampling_seed2,binary_p0.3,0,0.9999997615814209,15.2628,47.5769,3,False
balanced_sampling_seed2,binary_p0.3,1,0.9999997615814209,15.1677,47.4086,3,False
balanced_sampling_seed2,binary_p0.3,2,0.9999997019767761,15.1129,47.0416,3,False
balanced_sampling_seed2,binary_p0.3,3,0.9999998807907104,15.7398,49.2094,3,False
balanced_sampling_seed2,binary_p0.3,4,0.9999997615814209,15.32,47.8347,3,False
balanced_sampling_seed2,binary_p0.3,5,0.9999998211860657,15.3964,47.6976,3,False
balanced_sampling_seed2,binary_p0.3,6,0.9999998211860657,15.5068,48.5093,3,False
balanced_sampling_seed2,binary_p0.3,7,0.9999997615814209,15.3482,47.9379,3,False
balanced_sampling_seed2,binary_p0.3,8,0.9999997615814209,15.2986,47.6057,3,False
balanced_sampling_seed2,binary_p0.3,9,0.9999997019767761,14.9864,46.7511,3,False
balanced_sampling_seed2,binary_p0.3,10,0.9999997615814209,15.2529,47.4615,3,False
balanced_sampling_seed2,binary_p0.3,11,0.9999997615814209,15.2683,47.7233,3,False
balanced_sampling_seed2,binary_p0.3,12,0.9999997615814209,15.3618,47.7734,3,False
balanced_sampling_seed2,binary_p0.3,13,0.9999997615814209,15.2772,47.8676,3,False
balanced_sampling_seed2,binary_p0.3,14,0.9999997019767761,15.0556,47.1079,3,False
balanced_sampling_seed2,binary_p0.3,15,0.9999997615814209,15.2809,47.7559,3,False
balanced_sampling_seed2,binary_p0.3,16,0.9999997019767761,15.0699,46.5638,3,False
balanced_sampling_seed2,binary_p0.3,17,0.9999997019767761,15.0145,46.8217,3,False
balanced_sampling_seed2,binary_p0.3,18,0.9999995827674866,14.7156,45.9295,3,False
balanced_sampling_seed2,binary_p0.3,19,0.9999997019767761,14.9968,46.6691,3,False
balanced_sampling_seed2,binary_p0.3,20,0.9999997019767761,15.0458,46.7706,3,False
balanced_sampling_seed2,binary_p0.3,21,0.9999997019767761,14.9697,46.5708,3,False
balanced_sampling_seed2,binary_p0.3,22,0.9999997615814209,15.3278,47.9755,3,False
balanced_sampling_seed2,binary_p0.3,23,0.9999997615814209,15.2463,47.5746,3,False
balanced_sampling_seed2,binary_p0.3,24,0.9999997615814209,15.3044,47.7039,3,False
balanced_sampling_seed2,binary_p0.3,25,0.9999997615814209,15.3339,47.8966,3,False
balanced_sampling_seed2,binary_p0.3,26,0.9999997019767761,15.0983,47.1058,3,False
balanced_sampling_seed2,binary_p0.3,27,0.9999997615814209,15.2317,47.3129,3,False
balanced_sampling_seed2,binary_p0.3,28,0.9999997615814209,15.2193,47.5437,3,False
balanced_sampling_seed2,binary_p0.3,29,0.9999997615814209,15.304,47.8908,3,False
balanced_sampling_seed3,uniform,0,0.0009067238424904644,-7.0048,25.7377,9,False
balanced_sampling_seed3,uniform,1,0.007516014855355024,-4.8832,25.2598,9,False
balanced_sampling_seed3,uniform,2,0.003114133607596159,-5.7687,25.9426,9,False
balanced_sampling_seed3,uniform,3,0.0009415156091563404,-6.9671,25.7878,9,False
balanced_sampling_seed3,uniform,4,0.0004628499737009406,-7.6776,27.1545,9,False
balanced_sampling_seed3,uniform,5,0.0010729521745815873,-6.8363,26.1869,9,False
balanced_sampling_seed3,uniform,6,0.0009142934577539563,-6.9964,24.9596,9,False
balanced_sampling_seed3,uniform,7,0.0018262750236317515,-6.3036,26.1092,9,False
balanced_sampling_seed3,uniform,8,0.006519450340420008,-5.0264,24.9429,9,False
balanced_sampling_seed3,uniform,9,0.000700967269949615,-7.2623,25.4139,9,False
balanced_sampling_seed3,uniform,10,0.0027058355044573545,-5.9096,25.8178,9,False
balanced_sampling_seed3,uniform,11,0.003470525611191988,-5.66,25.7737,9,False
balanced_sampling_seed3,uniform,12,0.0005225387285463512,-7.5563,26.5541,9,False
balanced_sampling_seed3,uniform,13,0.0008783809025771916,-7.0366,25.8637,9,False
