case_type,benchmark,method,level_pct,n_samples,n_degenerate_excluded,geometry_fraction_median,geometry_fraction_iqr,geometry_fraction_std,geometry_fraction_control_median,geometry_fraction_paired_diff_median,narrow_gap_fraction_median,narrow_gap_fraction_iqr,narrow_gap_fraction_std,narrow_gap_fraction_control_median,narrow_gap_fraction_paired_diff_median,thin_line_fraction_median,thin_line_fraction_iqr,thin_line_fraction_std,thin_line_fraction_control_median,thin_line_fraction_paired_diff_median,boundary_proximity_mean_median,boundary_proximity_mean_iqr,boundary_proximity_mean_std,boundary_proximity_mean_control_median,boundary_proximity_mean_paired_diff_median,junction_recall_median,junction_recall_iqr,junction_recall_std,junction_recall_control_median,junction_recall_paired_diff_median,junction_density_per_kpx_median,junction_density_per_kpx_iqr,junction_density_per_kpx_std,junction_density_per_kpx_control_median,junction_density_per_kpx_paired_diff_median,corner_recall_median,corner_recall_iqr,corner_recall_std,corner_recall_control_median,corner_recall_paired_diff_median,corner_density_per_kpx_median,corner_density_per_kpx_iqr,corner_density_per_kpx_std,corner_density_per_kpx_control_median,corner_density_per_kpx_paired_diff_median,local_density_mean_median,local_density_mean_iqr,local_density_mean_std,local_density_mean_control_median,local_density_mean_paired_diff_median
FN,iccad5,occlusion,20,2,0,0.2849,0.0892,0.0892,0.1936,0.0914,0.2635,0.0637,0.0636,0.1605,0.1029,0.0687,0.02,0.0199,0.0469,0.0218,5.7,1.942,1.942,12.4916,-6.7916,0.5,0.5,0.5,0.1167,0.3833,1.0465,1.0465,1.0465,0.2393,0.8072,0.2605,0.0354,0.0354,0.2034,0.0571,12.855,2.89,2.89,10.3093,2.5457,0.2818,0.1029,0.1029,0.1915,0.0904
FN,iccad5,occlusion,30,2,0,0.2874,0.0948,0.0948,0.1977,0.0897,0.2592,0.0653,0.0654,0.1608,0.0984,0.07,0.0213,0.0213,0.0483,0.0218,5.7975,2.0535,2.0535,12.2889,-6.4914,0.5,0.5,0.5,0.0833,0.4167,0.6975,0.6975,0.6975,0.1139,0.5836,0.4591,0.0261,0.0261,0.3078,0.1513,15.545,4.65,4.65,10.498,5.047,0.2753,0.0976,0.0977,0.1997,0.0756
FP,iccad5,gradcam,10,3,0,0.3206,0.055,0.0474,0.3043,0.0163,0.2716,0.0779,0.071,0.1641,0.1105,0.1112,0.0268,0.0246,0.0726,0.0386,1.607,0.066,0.0615,6.795,-5.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3577,0.0308,0.028,0.1189,0.2437,35.871,5.381,4.8162,9.6158,21.5873,0.4437,0.0118,0.0104,0.3086,0.1314
FP,iccad5,gradcam,20,3,0,0.3257,0.0908,0.0849,0.3241,-0.0015,0.2695,0.0313,0.0292,0.1696,0.1134,0.0961,0.0041,0.0035,0.0774,0.025,1.734,0.088,0.0795,6.2668,-4.5488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385,0.022,0.0196,0.1973,0.3467,27.902,5.0325,4.3673,9.349,15.0791,0.4556,0.0053,0.0043,0.3189,0.1367
FP,iccad5,gradcam,30,3,0,0.4224,0.0155,0.0144,0.3056,0.1168,0.2605,0.0271,0.0251,0.172,0.1096,0.1216,0.0111,0.0103,0.0729,0.0443,1.683,0.2585,0.2416,6.8226,-5.1486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7115,0.0273,0.023,0.307,0.3947,25.111,4.75,4.1538,9.2817,14.7528,0.4513,0.0183,0.0163,0.3069,0.149
FP,iccad5,gradcam_plus,10,3,0,0.283,0.0788,0.0648,0.3043,-0.0213,0.1684,0.0877,0.0775,0.1641,0.0182,0.0833,0.0142,0.0123,0.0726,0.0049,4.71,0.979,0.8393,6.795,-2.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4698,0.0188,0.0155,0.1189,0.3611,47.23,12.3555,10.0952,9.6158,37.6142,0.274,0.0658,0.0538,0.3086,-0.0346
FP,iccad5,gradcam_plus,20,3,0,0.3438,0.0854,0.0697,0.3241,0.0197,0.1737,0.0746,0.068,0.1696,0.0087,0.0939,0.0154,0.0126,0.0774,0.0297,3.487,0.5805,0.4785,6.2668,-2.7798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8442,0.0775,0.0729,0.1973,0.5925,43.747,12.656,10.7236,9.349,34.398,0.3334,0.0492,0.0402,0.3189,0.0145
FP,iccad5,gradcam_plus,30,3,0,0.3262,0.067,0.0578,0.3056,0.0206,0.1951,0.0739,0.0623,0.172,0.046,0.0785,0.0084,0.0071,0.0729,0.0056,3.301,0.6445,0.5284,6.8226,-3.5216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9308,0.0166,0.0135,0.307,0.631,32.153,6.7095,5.6061,9.2817,22.8713,0.3424,0.0391,0.032,0.3069,0.0355
FP,iccad5,layercam,10,3,0,0.5207,0.0146,0.0131,0.3043,0.219,0.2268,0.0555,0.0514,0.1641,0.0726,0.121,0.0024,0.0022,0.0726,0.0484,1.786,0.0855,0.0705,6.795,-5.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1593,0.0308,0.0278,0.1189,0.0404,12.356,2.79,2.464,9.6158,3.1076,0.4624,0.0159,0.0131,0.3086,0.1538
FP,iccad5,layercam,20,3,0,0.5012,0.0267,0.0246,0.3241,0.1771,0.2253,0.0445,0.0404,0.1696,0.0635,0.1129,0.0056,0.0051,0.0774,0.0355,1.932,0.262,0.231,6.2668,-4.3348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3577,0.054,0.0447,0.1973,0.1736,17.14,2.0925,1.7399,9.349,7.3383,0.4495,0.0275,0.0233,0.3189,0.1306
FP,iccad5,layercam,30,3,0,0.4664,0.0327,0.0286,0.3056,0.1608,0.2098,0.0381,0.0356,0.172,0.0594,0.1066,0.0068,0.0064,0.0729,0.0337,2.149,0.3915,0.3609,6.8226,-4.6736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5404,0.0816,0.0677,0.307,0.2662,17.206,2.1255,1.7635,9.2817,6.9072,0.4347,0.0334,0.0298,0.3069,0.1278
FP,iccad5,occlusion,10,3,0,0.5008,0.0059,0.0053,0.3043,0.1955,0.236,0.0446,0.0409,0.1641,0.0808,0.1186,0.0014,0.0013,0.0726,0.046,2.207,0.0885,0.0816,6.795,-4.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2635,0.0734,0.0631,0.1189,0.1688,27.501,0.199,0.1625,9.6158,17.6862,0.4378,0.007,0.0058,0.3086,0.1207
FP,iccad5,occlusion,20,3,0,0.4469,0.0083,0.007,0.3241,0.1122,0.2064,0.0463,0.0435,0.1696,0.0518,0.1051,0.0019,0.0015,0.0774,0.0252,2.746,0.075,0.0705,6.2668,-3.3718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3615,0.0937,0.0793,0.1973,0.1774,18.635,0.2985,0.2612,9.349,9.385,0.3969,0.0073,0.0066,0.3189,0.078
FP,iccad5,occlusion,30,3,0,0.4293,0.0115,0.0101,0.3056,0.1237,0.1959,0.0398,0.0367,0.172,0.0432,0.1014,0.0028,0.0023,0.0729,0.0285,2.939,0.187,0.1575,6.8226,-3.8836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5019,0.1404,0.1171,0.307,0.2277,16.741,0.4985,0.4097,9.2817,8.0573,0.3912,0.0211,0.0173,0.3069,0.0843
TN,iccad5,gradcam,10,3,0,0.0745,0.1065,0.1004,0.0596,0.0149,0.1965,0.0368,0.0346,0.1729,0.0198,0.0177,0.022,0.0207,0.0145,0.0032,26.041,10.1755,9.5936,27.5077,-1.4667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0012,0.1019,-0.0993,0.0,0.1995,0.1881,2.0963,-2.0963,0.0753,0.0992,0.0936,0.0607,0.0146
TN,iccad5,gradcam,20,3,0,0.0754,0.1181,0.1113,0.0639,0.013,0.1962,0.0265,0.025,0.1812,0.0063,0.0178,0.0268,0.0253,0.0158,0.0027,25.998,10.53,9.9278,26.3737,-0.5044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352,0.0332,0.2026,-0.2026,0.0,2.7405,2.5838,2.1029,-2.1029,0.0757,0.1146,0.1081,0.065,0.0138
TN,iccad5,gradcam,30,3,0,0.0736,0.1168,0.1101,0.0663,0.0107,0.1981,0.0241,0.0227,0.177,0.0059,0.0181,0.0282,0.0266,0.0162,0.003,25.948,10.584,9.9787,25.9506,-0.3784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0552,0.052,0.3288,0.1468,3.454,8.3705,7.8918,2.3915,1.2275,0.0711,0.1103,0.1039,0.0654,0.0099
TN,iccad5,gradcam_plus,10,3,0,0.4743,0.1709,0.1611,0.0596,0.4147,0.4408,0.168,0.1584,0.1729,0.2641,0.0861,0.0235,0.0222,0.0145,0.0716,3.368,1.747,1.6471,27.5077,-24.1397,0.0,0.0416,0.0393,0.0,0.0,0.0,0.1995,0.1881,0.0,0.0,0.8942,0.3798,0.3581,0.1019,0.791,18.533,1.196,1.1276,2.0963,16.4367,0.2101,0.0297,0.028,0.0607,0.1494
TN,iccad5,gradcam_plus,20,3,0,0.3076,0.0802,0.0757,0.0639,0.2437,0.5136,0.1987,0.1874,0.1812,0.3237,0.0619,0.0095,0.0089,0.0158,0.0461,5.394,0.556,0.5242,26.3737,-20.9797,0.0,0.1666,0.1571,0.0,0.0,0.0,0.3985,0.3757,0.0,0.0,0.9904,0.358,0.3375,0.2026,0.7833,10.264,5.5305,5.2142,2.1029,8.1611,0.1967,0.015,0.0141,0.065,0.1317
TN,iccad5,gradcam_plus,30,3,0,0.2168,0.0194,0.0183,0.0663,0.1505,0.3991,0.1435,0.1353,0.177,0.2069,0.0526,0.0011,0.001,0.0162,0.0364,11.345,2.5245,2.3801,25.9506,-14.6056,0.0,0.2917,0.275,0.0,0.0,0.0,0.465,0.4384,0.0,0.0,1.0,0.2474,0.2333,0.3288,0.6468,6.909,9.6325,9.0816,2.3915,4.6825,0.1482,0.0154,0.0145,0.0654,0.0828
TN,iccad5,layercam,10,3,0,0.1427,0.098,0.0923,0.0596,0.0831,0.5347,0.1946,0.1835,0.1729,0.358,0.0347,0.0196,0.0185,0.0145,0.0202,8.884,2.5515,2.4056,27.5077,-18.6237,0.0,0.1459,0.1375,0.0,0.0,0.0,0.6975,0.6576,0.0,0.0,0.7692,0.3019,0.2846,0.1019,0.666,15.943,4.882,4.6028,2.0963,13.8467,0.1419,0.0639,0.0603,0.0607,0.0812
TN,iccad5,layercam,20,3,0,0.1391,0.1037,0.0978,0.0639,0.0767,0.4195,0.1334,0.1258,0.1812,0.2296,0.0357,0.0209,0.0197,0.0158,0.0199,12.029,4.15,3.9127,26.3737,-14.3447,0.0,0.2917,0.275,0.0,0.0,0.0,0.6975,0.6576,0.0,0.0,0.8654,0.2686,0.2532,0.2026,0.6583,8.969,8.271,7.798,2.1029,6.9117,0.1277,0.0753,0.0709,0.065,0.0627
TN,iccad5,layercam,30,3,0,0.1261,0.1052,0.0992,0.0663,0.0598,0.3427,0.093,0.0876,0.177,0.1505,0.0306,0.0225,0.0212,0.0162,0.0144,14.941,5.5645,5.2463,25.9506,-11.0096,0.0,0.375,0.3536,0.0,0.0,0.0,0.598,0.5638,0.0,0.0,0.875,0.1926,0.1816,0.3288,0.5218,6.045,9.666,9.1132,2.3915,3.8185,0.1113,0.0846,0.0797,0.0654,0.0459
