checkpoint,unit,HS_mean,HS_median,HS_std,HS_max,HS_frac_zero,HS_frac_gt0,HS_frac_gt0.01,HS_frac_gt0.1,HS_frac_gt1.0,NHS_mean,NHS_median,NHS_std,NHS_max,NHS_frac_zero,NHS_frac_gt0,NHS_frac_gt0.01,NHS_frac_gt0.1,NHS_frac_gt1.0,cohens_d,mannwhitney_p,auc_HS_vs_NHS
OLD,10,0.15945053100585938,0.0,1.0084537042036292,6.537471771240234,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,3.9719078654048747,4.0028581619262695,3.239219065754647,15.466094017028809,0.2243493558234594,0.7756506441765406,0.774978010037771,0.7693382314896259,0.7171314741035857,-1.178,1.0766873952187817e-16,0.1278
OLD,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
OLD,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
OLD,13,0.3842074464007122,0.0,2.429941249246624,15.7525053024292,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,7.78705118942994,8.075523376464844,5.337505460114238,21.92823982238769,0.14979044859522947,0.8502095514047705,0.8499508459667823,0.8476224970248875,0.8210275779996895,-1.388,3.2751610822784053e-19,0.0964
OLD,14,0.20760585040580937,0.0,1.313014685717099,8.511839866638184,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,5.809977554827339,5.994992733001709,4.514604087764878,28.398656845092773,0.1947017126299995,0.8052982873700005,0.8049360997568169,0.7990376157706836,0.7686655973508563,-1.2421,5.9835382809727e-18,0.1119
OLD,15,0.3696481425587724,0.0,2.337860126672685,15.155573844909668,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,12.936648670875739,13.822805404663086,6.198028108165538,26.26157569885254,0.06545247581104155,0.9345475241889585,0.9343923009261654,0.9337196667873958,0.9258550214725514,-2.0293,8.241171691072827e-24,0.046
NEW,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
NEW,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
NEW,2,0.011560624692498182,0.0,0.07311581040535589,0.4739856123924255,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,1.112830448843313,0.0,1.6783876797151218,7.503174781799316,0.5724633931805246,0.42753660681947536,0.4266570083303151,0.42018937238060744,0.3459926527655611,-0.6568,4.069730947876366e-07,0.2941
NEW,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.216360909331544,0.0,2.5434762979326178,9.354730606079102,0.6867077145961608,0.3132922854038392,0.31230920473948365,0.3071350959797175,0.2598954830030527,-0.4787,2.3956967672412366e-05,0.3434
NEW,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7085142614381696,1.0650866031646729,1.8576848715656695,6.782402038574219,0.3716562322140011,0.6283437677859989,0.6273606871216433,0.618099032441662,0.5073213638950691,-0.9206,8.691239199387778e-13,0.1858
NEW,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.005992507727324898,0.0,0.07561923400705639,1.1479220390319824,0.993428881875097,0.0065711181249029854,0.0065711181249029854,0.0065711181249029854,0.0020179024163087906,-0.0793,0.6026133914775055,0.4967
NEW,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
NEW,7,0.23548972897413295,0.0,1.4893678182680135,9.655078887939451,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,6.237339909950031,4.026062965393066,7.2982901465993,26.698436737060547,0.3321260412893879,0.6678739587106121,0.6674082889222331,0.6633724840896156,0.6268432762456667,-0.8232,5.576964432833569e-13,0.1807
NEW,8,0.9148330764799584,0.0,3.7257667248534223,23.795019149780277,0.7804878048780488,0.21951219512195122,0.21951219512195122,0.21951219512195122,0.12195121951219512,21.076783089795597,21.42230224609375,7.579280207981977,40.01632308959961,0.016815853469239923,0.98318414653076,0.98318414653076,0.9830289232679671,0.981217985202049,-2.6621,8.605278967991265e-26,0.0261
NEW,9,0.38884709521037775,0.0,2.459284964810289,15.942730903625488,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,9.01231934548634,8.956928253173828,7.012431757853133,27.82267189025879,0.1824908159569514,0.8175091840430486,0.8170952553422673,0.8151290940135562,0.7910694882806436,-1.2308,3.677492719854492e-18,0.1091
NEW,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.888310186308034,0.0,2.1301643101928533,8.181831359863281,0.7560925130646247,0.2439074869353754,0.24287266518342215,0.2361463237957262,0.1918559528121281,-0.4174,0.00033129094375399074,0.378
NEW,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
NEW,12,0.44188462234124903,0.0,2.7947237392033455,18.11726951599121,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,13.79561570257349,13.965757369995115,7.713656867782995,31.80870246887207,0.053862472189165414,0.9461375278108346,0.9460340456356393,0.9449992238836861,0.935375381590521,-1.7327,6.478268268685491e-24,0.045
NEW,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35065782335712375,0.0,1.12869494797216,5.697390556335449,0.887100946861903,0.11289905313809696,0.11279557096290165,0.11036373984581156,0.09225435918663011,-0.311,0.0226621776980407,0.4436
NEW,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
NEW,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
